OP029_HDDS,OP012_monthly_food_expenditure,OP011_accessibility_tier,OP016_budget_share_pct,OP016_budget_share_tier,OP025_neighborhood_safety_index,OP025_neighborhood_safety_tier,OP033_diet_quality_tier,OP004_cleanliness,OP005_neighborhood_safety,OP006_reputation,OP007_infrastructure,OP008_marketing_regulation,OP009_travel_time,OP017_cooking_source,OP018_water_source,OP019_water_distance,OP003_price_motive,OP010_shopping_frequency,OP013_expenditure_time_unit,OP015_affordability_motive,OP021_health_motive,OP022_trust_motive,OP023_food_env_perception,OP028_frequency_variation
7.0,7000000.0,Close,22.950819672131143,Medium,1.6666666666666667,High,Diverse,1.0,2.0,2.0,,,1.0,gas,yes,,0,24.0,month,0,0,0,2.0,4.381780460041329
10.0,9000000.0,Close,21.176470588235293,Medium,1.6666666666666667,High,Diverse,1.0,2.0,2.0,-1.0,,3.0,electricity,yes,1.0,0,28.0,day,0,0,0,2.0,3.932768321000701
7.0,3000.0,Close,,,2.0,High,Diverse,2.0,2.0,2.0,,,5.0,electricity,yes,,0,39.0,day,0,0,0,2.0,11.92895636675732
7.0,3000000.0,Close,23.076923076923077,Medium,0.6666666666666666,Low,Diverse,0.0,0.0,2.0,,,3.0,gas,yes,,0,50.0,month,0,0,0,2.0,15.819818793736754
5.0,8000000.0,,10.666666666666668,Low,2.0,High,Adequate,2.0,2.0,2.0,1.0,,,electricity,yes,0.0,0,40.0,month,0,0,0,-1.0,11.843422928641308
6.0,6000000.0,,,,1.0,Low,Adequate,-1.0,2.0,2.0,0.0,,,gas,yes,-1.0,0,0.0,month,0,0,0,2.0,0.0
9.0,6000000.0,Close,8.0,Low,2.0,High,Diverse,2.0,2.0,2.0,1.0,,5.0,electricity,yes,0.0,1,28.0,month,1,0,0,1.0,3.011090610836324
5.0,,,,,2.0,High,Adequate,2.0,2.0,2.0,1.0,,,gas,yes,0.0,0,0.0,,0,0,0,,0.0
1.0,6000000.0,,,,2.0,High,Poor,2.0,2.0,2.0,,,,gas,yes,,0,0.0,day,0,0,0,2.0,0.0
7.0,9000.0,Close,0.1058823529411764,Low,1.3333333333333333,Low,Diverse,0.0,2.0,2.0,1.0,,3.0,electricity,yes,-1.0,0,61.0,day,0,0,0,2.0,14.998888847733577
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
6.0,6000000.0,Far,,,1.6666666666666667,High,Adequate,2.0,2.0,1.0,1.0,,10.0,electricity,yes,-1.0,0,36.0,day,0,0,0,2.0,11.86591757935306
5.0,7000000.0,Far,35.0,Medium,2.0,High,Adequate,2.0,2.0,2.0,0.0,,15.0,electricity,yes,-1.0,0,36.0,month,0,0,0,2.0,3.3466401061363023
6.0,2000000.0,Far,23.52941176470588,Medium,2.0,High,Adequate,2.0,2.0,2.0,1.0,,10.0,electricity,yes,1.0,0,4.0,month,0,0,1,2.0,1.632993161855452
5.0,7000000.0,,22.950819672131143,Medium,2.0,High,Adequate,2.0,2.0,2.0,-1.0,,,electricity,yes,-1.0,0,8.0,month,0,0,0,2.0,2.0655911179772892
6.0,8000000.0,,10.666666666666668,Low,-0.3333333333333333,Low,Adequate,-1.0,-2.0,2.0,0.0,,,electricity,yes,-1.0,0,24.0,month,0,0,0,2.0,4.381780460041329
5.0,20000000.0,Close,47.05882352941176,High,2.0,High,Adequate,2.0,2.0,2.0,0.0,,5.0,electricity,yes,-1.0,0,64.0,month,0,1,0,2.0,14.678782874157744
3.0,3000000.0,Close,,,1.3333333333333333,Low,Poor,1.0,2.0,1.0,0.0,,2.0,electricity,yes,1.0,0,60.0,day,0,0,0,2.0,15.491933384829668
9.0,6000000.0,Close,200.0,High,1.3333333333333333,Low,Diverse,2.0,2.0,0.0,1.0,,5.0,gas,yes,-1.0,0,14.0,day,0,0,0,2.0,3.204163957519444
7.0,6000000.0,Close,25.0,Medium,1.6666666666666667,High,Diverse,2.0,2.0,1.0,,,3.0,electricity,yes,,0,46.0,day,0,0,0,2.0,11.621818561080133
10.0,,Close,,,1.0,Low,Diverse,0.0,2.0,1.0,1.0,,2.0,electricity,yes,-1.0,0,66.0,,0,0,0,2.0,14.791889669680478
4.0,15000000.0,Close,62.5,High,1.3333333333333333,Low,Adequate,1.0,2.0,1.0,0.0,,5.0,gas,yes,-1.0,0,18.0,month,0,0,0,2.0,3.9496835316263
9.0,10000000.0,,13.333333333333334,Low,0.6666666666666666,Low,Diverse,-1.0,2.0,1.0,0.0,,,electricity,yes,-1.0,0,6.0,month,0,0,0,2.0,1.6733200530681511
9.0,,Close,,,1.3333333333333333,Low,Diverse,1.0,1.0,2.0,1.0,,5.0,electricity,yes,-1.0,0,51.0,,0,0,0,2.0,11.058933040759404
9.0,15000000.0,Far,,,1.0,Low,Diverse,2.0,1.0,0.0,1.0,,10.0,electricity,yes,-1.0,0,46.0,month,0,0,1,2.0,11.343133018115704
8.0,3000000.0,Close,27.27272727272727,Medium,1.0,Low,Diverse,1.0,2.0,0.0,-1.0,,5.0,electricity,yes,-1.0,0,53.0,day,0,1,0,2.0,15.574551892965223
4.0,4500000.0,Close,40.909090909090914,High,2.0,High,Adequate,2.0,2.0,2.0,,,3.0,gas,yes,,0,35.0,day,0,0,0,2.0,11.940128419186566
10.0,10500000.0,Close,24.705882352941178,Medium,1.3333333333333333,Low,Diverse,2.0,1.0,1.0,,,1.0,electricity,yes,,0,75.0,day,0,0,0,1.0,17.77357589231835
7.0,9000000.0,Close,69.23076923076923,High,2.0,High,Diverse,2.0,2.0,2.0,,,5.0,electricity,yes,,0,6.0,day,0,0,0,2.0,1.6733200530681511
6.0,12000000.0,Close,50.0,High,0.6666666666666666,Low,Adequate,1.0,1.0,0.0,1.0,,3.0,electricity,yes,0.0,0,52.0,day,0,0,0,2.0,10.93008081702357
